                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1512,                0.83252,                 1.4742,                0.85068,                0.90039,                0.91993,                0.63004,                 1.0549,                0.74817,                  1.333,             0.00096215,             0.00096215,             0.00096215
                     36,                  1.144,                0.82614,                 1.4722,                0.83209,                0.91804,                 0.9225,                0.62574,                  1.065,                0.72345,                 1.3343,               0.000948,               0.000948,               0.000948
                     37,                 1.1314,                0.81331,                 1.4627,                0.85074,                0.89093,                 0.9147,                 0.6254,                 1.0555,                 0.7411,                 1.3396,             0.00093385,             0.00093385,             0.00093385
                     38,                  1.128,                0.81328,                 1.4549,                0.83991,                0.92295,                0.92619,                0.63207,                  1.056,                0.72978,                 1.3365,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1389,                0.81147,                 1.4623,                0.84599,                0.90484,                0.92045,                 0.6188,                 1.0717,                0.76422,                 1.3436,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.1254,                0.80565,                 1.4537,                0.86004,                0.89307,                0.92807,                0.63287,                 1.0555,                0.74308,                 1.3282,             0.00089141,             0.00089141,             0.00089141
                     41,                  1.125,                0.81089,                 1.4527,                0.83673,                0.90642,                0.92347,                0.63552,                 1.0523,                0.72157,                 1.3246,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.1082,                0.79835,                 1.4413,                0.85963,                  0.879,                0.91825,                0.62962,                 1.0673,                0.73179,                 1.3267,             0.00086312,             0.00086312,             0.00086312
                     43,                 1.1213,                0.79674,                 1.4445,                0.84461,                0.91256,                0.92581,                0.64129,                 1.0475,                0.69511,                 1.3219,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1241,                0.80006,                  1.446,                0.85496,                 0.9027,                0.92506,                0.64032,                 1.0688,                0.70715,                 1.3306,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.1109,                0.78825,                  1.443,                0.82829,                  0.903,                0.90615,                0.62656,                 1.0538,                0.72437,                 1.3243,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.1111,                0.79074,                 1.4399,                0.83796,                0.92758,                0.92532,                0.63648,                 1.0556,                0.70046,                  1.327,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1067,                0.78348,                 1.4371,                0.86069,                0.88034,                0.92285,                0.64353,                  1.039,                0.70986,                 1.3179,             0.00079238,             0.00079238,             0.00079238
                     48,                  1.111,                0.78383,                 1.4367,                0.85419,                0.89555,                0.92857,                0.63148,                 1.0428,                0.72726,                 1.3138,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1079,                 0.7858,                 1.4333,                0.84894,                0.90067,                0.92063,                0.61525,                 1.0841,                0.71435,                 1.3425,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.0996,                0.78135,                 1.4297,                0.83576,                0.90741,                0.91528,                0.63237,                 1.0605,                0.70277,                 1.3184,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.0956,                0.77703,                 1.4196,                0.86495,                0.88437,                 0.9278,                0.63254,                 1.0735,                0.71566,                 1.3319,             0.00073579,             0.00073579,             0.00073579
                     52,                  1.098,                0.77575,                 1.4249,                0.86041,                0.89667,                 0.9282,                0.64739,                  1.063,                0.70502,                 1.3219,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1039,                0.77963,                 1.4303,                0.83273,                0.92046,                 0.9237,                0.63482,                 1.0576,                0.74043,                 1.3152,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.0863,                0.76364,                 1.4135,                0.84847,                 0.8996,                0.92402,                 0.6452,                 1.0417,                0.69297,                 1.3104,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0913,                0.77255,                 1.4172,                0.84223,                0.90544,                0.92419,                0.63366,                 1.0472,                0.70421,                 1.3148,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0915,                0.77482,                 1.4183,                0.86175,                0.89336,                0.92219,                0.64616,                 1.0312,                0.70086,                 1.3049,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0942,                0.77578,                 1.4196,                0.85493,                0.89827,                0.92163,                0.62254,                 1.0713,                0.71985,                 1.3307,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.0909,                0.77051,                 1.4121,                  0.844,                0.90322,                0.92159,                0.63087,                 1.0453,                0.71808,                 1.3196,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0809,                0.75302,                  1.404,                0.86441,                 0.8831,                0.91831,                0.63661,                 1.0522,                 0.7123,                 1.3209,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.0902,                0.75913,                 1.4133,                0.85659,                0.90608,                0.93004,                0.65346,                 1.0199,                0.68318,                 1.2896,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.0856,                 0.7597,                 1.4047,                0.84796,                0.90239,                0.92547,                0.64454,                 1.0278,                0.68564,                 1.2979,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0794,                0.76059,                  1.411,                0.84463,                0.91835,                0.92546,                0.64732,                 1.0328,                0.68895,                 1.2993,             0.00058017,             0.00058017,             0.00058017
                     63,                  1.081,                0.75411,                 1.4046,                0.84132,                0.90737,                0.92289,                0.64125,                 1.0481,                0.68451,                 1.3079,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0734,                0.74356,                 1.4024,                0.85288,                 0.9079,                0.92927,                0.65354,                 1.0321,                0.68487,                 1.3025,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0733,                0.75085,                 1.4007,                0.84407,                0.91435,                0.93192,                0.64682,                  1.035,                0.69517,                  1.299,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0769,                0.75679,                 1.4024,                0.85416,                0.90056,                0.92201,                0.64552,                 1.0308,                0.68625,                 1.3059,             0.00052359,             0.00052359,             0.00052359
                     67,                  1.065,                0.74076,                  1.394,                0.87604,                0.87687,                0.92793,                0.64199,                 1.0525,                0.67885,                 1.3073,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0652,                0.74117,                 1.3925,                0.84908,                0.91844,                0.92865,                0.65591,                 1.0152,                0.67295,                 1.2861,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0578,                0.72816,                 1.3849,                0.87443,                0.89486,                 0.9317,                0.65212,                  1.028,                0.66885,                 1.2897,             0.00048114,             0.00048114,             0.00048114
                     70,                 1.0638,                 0.7363,                 1.3916,                0.85048,                 0.9146,                0.92813,                0.65481,                 1.0325,                 0.6754,                  1.293,               0.000467,               0.000467,               0.000467
                     71,                 1.0595,                0.73593,                 1.3828,                 0.8715,                0.88314,                 0.9234,                0.65513,                 1.0197,                0.68014,                  1.289,             0.00045285,             0.00045285,             0.00045285
                     72,                  1.059,                0.73259,                 1.3866,                0.84351,                0.90991,                0.92918,                0.65422,                 1.0385,                0.67356,                 1.2999,              0.0004387,              0.0004387,              0.0004387
                     73,                 1.0573,                0.72887,                 1.3829,                0.84886,                0.90184,                0.92429,                0.64909,                 1.0378,                0.67995,                 1.2951,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0616,                0.72923,                 1.3891,                0.86298,                0.89546,                0.93336,                0.65696,                 1.0152,                0.66858,                 1.2794,             0.00041041,             0.00041041,             0.00041041
                     75,                 1.0493,                0.72756,                 1.3764,                0.86437,                0.89757,                0.93316,                0.65113,                 1.0238,                0.66175,                 1.2878,             0.00039626,             0.00039626,             0.00039626
                     76,                 1.0448,                0.71962,                 1.3752,                0.82521,                 0.9215,                0.92853,                0.65048,                 1.0239,                0.68474,                 1.2905,             0.00038211,             0.00038211,             0.00038211
                     77,                 1.0462,                0.72307,                 1.3741,                0.85313,                0.89488,                0.92775,                0.64976,                 1.0167,                 0.6736,                 1.2846,             0.00036797,             0.00036797,             0.00036797
                     78,                   1.04,                0.71962,                  1.369,                0.83716,                0.93106,                0.92962,                0.65624,                 1.0227,                0.65885,                 1.2867,             0.00035382,             0.00035382,             0.00035382
                     79,                 1.0458,                0.71636,                 1.3743,                0.85871,                0.90325,                0.93282,                0.65602,                 1.0273,                0.67076,                 1.2851,             0.00033967,             0.00033967,             0.00033967
                     80,                 1.0373,                0.71845,                   1.37,                0.85459,                0.90292,                 0.9269,                0.65602,                 1.0156,                0.66691,                  1.278,             0.00032553,             0.00032553,             0.00032553
                     81,                 1.0376,                0.71409,                 1.3664,                0.87452,                0.87967,                 0.9288,                0.65655,                 1.0122,                0.66007,                 1.2757,             0.00031138,             0.00031138,             0.00031138
                     82,                 1.0338,                0.71253,                 1.3644,                0.84088,                0.91693,                 0.9302,                0.65817,                 1.0135,                0.66261,                 1.2785,             0.00029723,             0.00029723,             0.00029723
                     83,                 1.0336,                0.70985,                 1.3638,                0.83774,                0.90219,                0.92278,                0.65263,                 1.0195,                0.66891,                 1.2821,             0.00028308,             0.00028308,             0.00028308
                     84,                 1.0348,                 0.7125,                 1.3659,                0.84928,                0.91836,                0.92935,                0.64889,                  1.015,                0.65776,                 1.2789,             0.00026894,             0.00026894,             0.00026894
                     85,                 1.0348,                0.71371,                 1.3649,                0.84683,                0.92218,                0.93022,                0.65705,                 1.0109,                0.67109,                 1.2747,             0.00025479,             0.00025479,             0.00025479
                     86,                 1.0267,                0.70464,                 1.3605,                0.84368,                0.91914,                0.93231,                0.65739,                 1.0131,                0.66286,                 1.2754,             0.00024064,             0.00024064,             0.00024064
                     87,                 1.0244,                0.70259,                 1.3604,                0.83865,                 0.9348,                0.93214,                0.65418,                 1.0197,                 0.6585,                 1.2837,              0.0002265,              0.0002265,              0.0002265
                     88,                  1.031,                0.69947,                 1.3662,                 0.8451,                0.91984,                0.93011,                 0.6577,                 1.0107,                0.65921,                 1.2745,             0.00021235,             0.00021235,             0.00021235
                     89,                 1.0229,                0.70018,                 1.3588,                0.86854,                0.89894,                 0.9327,                0.65931,                 1.0086,                 0.6564,                 1.2724,              0.0001982,              0.0001982,              0.0001982
                     90,                 1.0317,                  0.709,                 1.3646,                0.82818,                0.93147,                0.92768,                0.65271,                  1.013,                0.66304,                  1.278,             0.00018406,             0.00018406,             0.00018406
                     91,                 1.0099,                0.66602,                 1.3469,                0.86976,                0.88797,                0.93027,                0.66007,                 1.0105,                0.65412,                 1.2773,             0.00016991,             0.00016991,             0.00016991
                     92,                0.99359,                0.64529,                 1.3345,                 0.8606,                0.90052,                0.93087,                0.66481,                 1.0021,                0.65389,                 1.2697,             0.00015576,             0.00015576,             0.00015576
                     93,                0.99313,                0.64232,                 1.3341,                0.84274,                0.92324,                0.93216,                0.66495,                 1.0092,                0.64641,                 1.2737,             0.00014161,             0.00014161,             0.00014161
                     94,                0.98303,                0.63265,                 1.3247,                0.85466,                 0.9116,                0.93176,                0.66313,                  1.009,                 0.6526,                  1.274,             0.00012747,             0.00012747,             0.00012747
                     95,                0.98196,                0.63039,                 1.3261,                0.85997,                0.90165,                0.93264,                0.66497,                 1.0038,                0.65204,                 1.2706,             0.00011332,             0.00011332,             0.00011332
                     96,                0.98599,                0.63765,                 1.3315,                0.86259,                0.89752,                0.93135,                0.66486,                 1.0065,                0.65753,                 1.2703,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.97934,                0.63034,                 1.3223,                0.84926,                 0.9161,                0.93332,                0.66958,                 1.0018,                0.64789,                 1.2689,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.97331,                0.62693,                 1.3161,                0.84371,                0.91733,                0.93421,                0.66619,                 1.0036,                 0.6576,                 1.2708,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.97405,                0.62492,                 1.3165,                 0.8436,                0.92095,                0.93229,                0.66635,                0.99988,                0.65066,                 1.2687,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.97083,                 0.6224,                 1.3152,                0.85566,                0.90816,                0.93288,                0.66776,                 1.0036,                0.64881,                 1.2707,             4.2584e-05,             4.2584e-05,             4.2584e-05
